Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;11;11;33;2;3;0,666667;148;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;17;22;171;16;49;0,326531;2645;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;19;19;513;2;15;0,133333;586;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;22;17;1281;2;25;0,080000;856;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;24;29;1373;368;237;1,552743;29973;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;27;27;8193;2;34;0,058824;1241;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;28;21;8001;2;46;0,043478;1490;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;31;41;16021;2362;5437;0,434431;445734;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;34;29;61496;406;1310;0,309924;58410;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;35;35;131073;2;67;0,029851;2390;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;38;113;43201;76;865;0,087861;66620;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;41;127;86401;76;1163;0,065348;89161;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;41;31;819201;2;159;0,012579;3713;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;43;43;2097153;2;126;0,015873;4135;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;43;48;3596;479;978;0,489775;80899;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;45;145;259201;76;2036;0,037328;152088;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;53;39;32000001;2;506;0,003953;11765;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;60;45;524288001;2;531;0,003766;9682;

