Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward relation union;11;11;33;2;4;0,500000;176;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward relation union;17;22;171;16;42;0,380952;2266;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward relation union;19;19;513;2;18;0,111111;494;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward relation union;22;17;1281;2;29;0,068966;663;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward relation union;24;29;1373;368;309;1,190938;37845;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward relation union;27;27;8193;2;55;0,036364;1026;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward relation union;28;21;8001;2;82;0,024390;1239;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward relation union;31;41;16021;2362;4427;0,533544;371829;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward relation union;34;29;61496;406;1552;0,261598;55651;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward relation union;35;35;131073;2;185;0,010811;1715;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward relation union;38;113;43201;76;2159;0,035201;167240;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward relation union;41;127;86401;76;2723;0,027910;207010;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward relation union;41;31;819201;2;594;0,003367;2232;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward relation union;43;43;2097153;2;986;0,002028;2580;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward relation union;43;48;3596;479;866;0,553118;77040;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward relation union;45;145;259201;76;3728;0,020386;258100;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward relation union;53;39;32000001;2;9108;0,000220;4758;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward relation union;60;45;524288001;2;50080;0,000040;5040;

