Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel relation union;11;11;33;2;4;0,500000;176;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel relation union;17;22;171;16;50;0,320000;2464;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel relation union;19;19;513;2;18;0,111111;494;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel relation union;22;17;1281;2;31;0,064516;663;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel relation union;24;29;1373;368;297;1,239057;36917;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel relation union;27;27;8193;2;58;0,034483;1026;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel relation union;28;21;8001;2;85;0,023529;1239;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel relation union;31;41;16021;2362;4854;0,486609;397249;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel relation union;34;29;61496;406;1849;0,219578;47415;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel relation union;35;35;131073;2;188;0,010638;1715;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel relation union;38;113;43201;76;1864;0,040773;155940;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel relation union;41;127;86401;76;2385;0,031866;194310;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel relation union;41;31;819201;2;603;0,003317;2232;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel relation union;43;43;2097153;2;1068;0,001873;2580;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel relation union;43;48;3596;479;1397;0,342878;109536;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel relation union;45;145;259201;76;3287;0,023121;243600;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel relation union;53;39;32000001;2;9343;0,000214;4758;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel relation union;60;45;524288001;2;54928;0,000036;5040;

