Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep relation union;71;66;5093654.000000;4404;41007;0,107396;1132824;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep relation union;73;68;3258135.000000;168754;543513;0,310488;41071048;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep relation union;78;57;128000000000.000000;1;461697;0,000002;10773;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep relation union;79;59;335544320000.000000;1;732575;0,000001;8909;

