Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;11;11;32,000000;1;4;0,250000;25;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;17;22;164,000000;9;71;0,126761;105;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;19;19;512,000000;1;16;0,062500;48;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;22;17;1280,000000;1;26;0,038462;121;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;24;29;1194,000000;189;262;0,721374;68;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;27;27;8192,000000;1;32;0,031250;69;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;28;21;8000,000000;1;35;0,028571;178;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;31;41;15386,000000;1727;5351;0,322743;452;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;34;29;61288,000000;198;1050;0,188571;2206;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;35;35;131072,000000;1;48;0,020833;91;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;38;113;43200,000000;75;1630;0,046012;72;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;40;49;321114,000000;59229;92773;0,638429;128;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;41;127;86400,000000;75;1762;0,042565;75;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;41;31;819200,000000;1;73;0,013699;205;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;43;43;2097152,000000;1;98;0,010204;113;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;43;48;3172,000000;55;383;0,143603;430;

