Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;11;11;32,000000;1;3;0,333333;25;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;17;22;164,000000;9;70;0,128571;105;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;19;19;512,000000;1;15;0,066667;48;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;22;17;1280,000000;1;26;0,038462;121;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;24;29;1194,000000;189;244;0,774590;68;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;27;27;8192,000000;1;34;0,029412;69;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;28;21;8000,000000;1;35;0,028571;178;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;31;41;15386,000000;1727;4710;0,366667;452;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;34;29;61288,000000;198;1015;0,195074;2206;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;35;35;131072,000000;1;48;0,020833;91;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;38;113;43200,000000;75;1533;0,048924;72;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;40;49;321114,000000;59229;92513;0,640224;128;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;41;127;86400,000000;75;1737;0,043178;75;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;41;31;819200,000000;1;79;0,012658;205;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;43;43;2097152,000000;1;101;0,009901;113;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;43;48;3172,000000;55;400;0,137500;430;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;45;145;259200,000000;75;2390;0,031381;81;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;45;60;1455374,000000;252641;774467;0,326213;1963;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;53;53;21658,000000;2620;5792;0,452348;577;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;53;39;32000000,000000;1;173;0,005780;352;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;60;45;524288000,000000;1;206;0,004854;265;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;71;66;5093654,000000;4404;19375;0,227303;5684;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;73;68;3258135,000000;168754;543627;0,310422;3376;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;78;57;128000000000,000000;1;598;0,001672;446;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;79;59;335544320000,000000;1;531;0,001883;325;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;83;83;2199023255552,000000;1;744;0,001344;223;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;98;73;214748364800000,000000;1;1296;0,000772;385;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;103;75;512000000000000,000000;1;1123;0,000890;540;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;128;93;2048000000000000000,000000;1;2248;0,000445;634;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;139;159;5307222,000000;9668;278687;0,034691;3998;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;163;163;2417851639229258349412352,000000;1;6100;0,000164;443;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturaion BDD size;193;143;23058430092136939520000000000,000000;1;7511;0,000133;685;

