Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturation BDD size;11;11;32,000000;1;2;0,500000;25;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturation BDD size;17;22;164,000000;9;51;0,176471;87;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturation BDD size;19;19;512,000000;1;10;0,100000;47;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturation BDD size;22;17;1280,000000;1;15;0,066667;89;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturation BDD size;24;29;1194,000000;189;195;0,969231;35;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturation BDD size;27;27;8192,000000;1;23;0,043478;69;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturation BDD size;28;21;8000,000000;1;25;0,040000;126;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturation BDD size;31;41;15386,000000;1727;4747;0,363809;399;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturation BDD size;34;29;61288,000000;198;903;0,219269;1198;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturation BDD size;35;35;131072,000000;1;48;0,020833;91;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturation BDD size;38;113;43200,000000;75;1408;0,053267;72;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturation BDD size;40;49;321114,000000;59229;87300;0,678454;101;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturation BDD size;41;127;86400,000000;75;1668;0,044964;75;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturation BDD size;41;31;819200,000000;1;72;0,013889;205;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturation BDD size;43;48;3172,000000;55;383;0,143603;367;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Lockstep saturation BDD size;43;43;2097152,000000;1;97;0,010309;113;

