Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;83;83;2199023255553.000000;2;1012;0,001976;24301;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;98;73;214748364800001.000000;2;1812;0,001104;33739;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;103;75;512000000000001.000000;2;4509;0,000444;55987;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;128;93;2048000000000000000.000000;2;5809;0,000344;70739;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;139;159;5307680.000000;10126;266368;0,038015;15953294;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;163;163;2417851639229258349412352.000000;2;6418;0,000312;117850;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;193;143;23058430092136939520000000000.000000;2;16502;0,000121;204603;

