Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;100;99;-1;100;498;0,200803;27273;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;200;199;-1;200;1959;0,102093;109817;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;300;299;-1;300;5199;0,057703;248078;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;400;399;-1;400;10900;0,036697;442899;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;500;499;-1;500;18926;0,026419;692464;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Lockstep saturation;600;599;-1;600;31979;0,018762;999533;

