Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;11;11;32,000000;1;4;0,250000;25;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;17;22;164,000000;9;59;0,152542;81;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;19;19;512,000000;1;17;0,058824;48;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;22;17;1280,000000;1;27;0,037037;121;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;24;29;1194,000000;189;260;0,726923;57;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;27;27;8192,000000;1;37;0,027027;66;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;28;21;8000,000000;1;38;0,026316;178;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;31;41;15386,000000;1727;4998;0,345538;250;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;34;29;61288,000000;198;1001;0,197802;1588;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;35;35;131072,000000;1;52;0,019231;88;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;38;113;43200,000000;75;1640;0,045732;49;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;40;49;321114,000000;59229;96014;0,616879;105;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;41;127;86400,000000;75;2076;0,036127;53;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;41;31;819200,000000;1;83;0,012048;171;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;43;48;3172,000000;55;435;0,126437;430;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;43;43;2097152,000000;1;112;0,008929;110;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;45;145;259200,000000;75;2758;0,027194;59;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;45;60;1455374,000000;252641;756187;0,334099;480;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;53;53;21658,000000;2620;5918;0,442717;538;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;53;39;32000000,000000;1;182;0,005495;352;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;60;45;524288000,000000;1;224;0,004464;231;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;71;66;5093654,000000;4404;21220;0,207540;4439;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;73;68;3258135,000000;168754;539910;0,312560;1776;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;78;57;128000000000,000000;1;609;0,001642;446;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;79;59;335544320000,000000;1;486;0,002058;291;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;83;83;2199023255552,000000;1;713;0,001403;220;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;98;73;214748364800000,000000;1;951;0,001052;351;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;103;75;512000000000000,000000;1;1434;0,000697;540;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;128;93;2048000000000000000,000000;1;2702;0,000370;634;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;139;159;5307222,000000;9668;278477;0,034717;3998;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;163;163;2417851639229258349412352,000000;1;6722;0,000149;440;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
XB saturation BDD size;193;143;23058430092136939520000000000,000000;1;8127;0,000123;651;

