Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward saturation;11;11;33;2;3;0,666667;148;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward saturation;17;22;171;16;38;0,421053;2361;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward saturation;19;19;513;2;15;0,133333;586;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward saturation;22;17;1281;2;25;0,080000;856;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward saturation;24;29;1373;368;244;1,508197;29203;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward saturation;27;27;8193;2;34;0,058824;1241;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward saturation;28;21;8001;2;49;0,040816;1490;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward saturation;31;41;16021;2362;4741;0,498207;388624;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward saturation;34;29;61496;406;1433;0,283322;59512;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward saturation;35;35;131073;2;77;0,025974;2390;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward saturation;38;113;43201;76;1178;0,064516;79073;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward saturation;40;49;380093;118208;109257;1,081926;14140902;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward saturation;41;127;86401;76;1404;0,054131;105639;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward saturation;41;31;819201;2;163;0,012270;3713;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward saturation;43;43;2097153;2;126;0,015873;4135;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward saturation;43;48;3596;479;840;0,570238;70636;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward saturation;45;145;259201;76;1987;0,038249;153614;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward saturation;45;60;1530495;327762;626633;0,523053;51411176;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward saturation;53;39;32000001;2;557;0,003591;11765;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward saturation;53;53;21947;2909;5024;0,579021;433710;

Algorithm run;Places;Relations;Nodes;SCC's;0 pruning steps (ms);SCC/ms;Symbolic steps;
Xie-Beerel backward saturation;60;45;524288001;2;641;0,003120;9682;

