Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;11;11;32,000000;1;6;0,166667;33;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;17;22;164,000000;9;47;0,191489;70;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;19;19;512,000000;1;38;0,026316;172;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;22;17;1280,000000;1;72;0,013889;319;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;24;29;1194,000000;189;276;0,684783;104;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;27;27;8192,000000;1;77;0,012987;807;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;28;21;8000,000000;1;98;0,010204;1010;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;31;41;15386,000000;1727;4658;0,370760;434;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;34;29;61288,000000;198;1567;0,126356;1837;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;35;35;131072,000000;1;257;0,003891;3714;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;38;113;43200,000000;75;2772;0,027056;255;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;40;49;321114,000000;59229;95759;0,618522;384;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;41;127;86400,000000;75;3178;0,023600;296;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;41;31;819200,000000;1;694;0,001441;6978;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;43;48;3172,000000;55;362;0,151934;437;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;43;43;2097152,000000;1;1047;0,000955;15774;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;45;145;259200,000000;75;4155;0,018051;343;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;45;60;1455374,000000;252641;721438;0,350191;1591;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;53;53;21658,000000;2620;5959;0,439671;1102;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;53;39;32000000,000000;1;8467;0,000118;31468;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;60;45;524288000,000000;1;55226;0,000018;62262;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;71;66;5093654,000000;4404;32678;0,134770;11909;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;73;68;3258135,000000;168754;557806;0,302532;11278;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;78;57;128000000000,000000;1;559674;0,000002;381815;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union BDD size;79;59;335544320000,000000;1;778233;0,000001;451553;

