Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union;71;66;5093654.000000;4404;25881;0,170163;1026432;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union;73;68;3258135.000000;168754;452552;0,372894;35800368;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union;78;57;128000000000.000000;1;458610;0,000002;10773;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel relation union;79;59;335544320000.000000;1;647106;0,000002;8909;

