Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel saturation;53;53;21658;2620;6441;0,406769;497369;
Xie-Beerel backward saturation;53;53;21658;2620;4186;0,625896;387774;
Lockstep saturation;53;53;21658;2620;4892;0,535568;433082;
Xie-Beerel relation union;53;53;21658;2620;6931;0,378012;587664;
Xie-Beerel backward relation union;53;53;21658;2620;4944;0,529935;463379;
Lockstep relation union;53;53;21658;2620;6003;0,436448;560369;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel saturation;71;66;5093654;4404;15263;0,288541;891609;
Xie-Beerel backward saturation;71;66;5093654;4404;14561;0,302452;866680;
Lockstep saturation;71;66;5093654;4404;16047;0,274444;905381;
Xie-Beerel relation union;71;66;5093654;4404;32165;0,136919;997326;
Xie-Beerel backward relation union;71;66;5093654;4404;26370;0,167008;1026432;
Lockstep relation union;71;66;5093654;4404;39786;0,110692;1132824;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel saturation;40;49;321114;59229;68903;0,859600;7716649;
Xie-Beerel backward saturation;40;49;321114;59229;73210;0,809029;8237733;
Lockstep saturation;40;49;321114;59229;82090;0,721513;8465567;
Xie-Beerel relation union;40;49;321114;59229;68327;0,866846;8735524;
Xie-Beerel backward relation union;40;49;321114;59229;69708;0,849673;9007768;
Lockstep relation union;40;49;321114;59229;94552;0,626417;10246096;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel saturation;45;60;1455374;252641;587997;0,429664;50249423;
Xie-Beerel backward saturation;45;60;1455374;252641;552531;0,457243;43207789;
Lockstep saturation;45;60;1455374;252641;656627;0,384756;47028157;
Xie-Beerel relation union;45;60;1455374;252641;628130;0,402211;57199860;
Xie-Beerel backward relation union;45;60;1455374;252641;598755;0,421944;49570620;
Lockstep relation union;45;60;1455374;252641;777315;0,325018;58769580;

Algorithm run;Places;Relations;Nodes;SCCs;Running time (ms);SSCs/ms;Symbolic steps;
Xie-Beerel saturation;73;68;3258135;168754;401132;0,420694;36157737;
Xie-Beerel backward saturation;73;68;3258135;168754;380584;0,443408;30321179;
Lockstep saturation;73;68;3258135;168754;464560;0,363256;33102086;
Xie-Beerel relation union;73;68;3258135;168754;422398;0,399514;40863036;
Xie-Beerel backward relation union;73;68;3258135;168754;428029;0,394258;35800368;
Lockstep relation union;73;68;3258135;168754;539073;0,313045;41071048;

